Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Sentences;Words;Audience_age;Audience_level;Audience_size;Full context;Example source
 йынчукс ьдубин-йокак алавыргиан ыб акраН;нрюткон;Нарка бы наигрывала какой-нибудь скучный ;ноктюрн;, ;а я в это время медленно;Наринэ Абгарян. Всё о Манюне (сборник) (2012);Наринэ Абгарян;1971;Всё о Манюне (сборник);2012;художественная;роман;;Наринэ Абгарян. Всё о Манюне;2015;книга;омонимия не снята;20440;208156;детский;н-уровень;большая;Нарка бы наигрывала какой-нибудь скучный ноктюрн, а я в это время медленно внесла бы в комнату картину. ;24741:7638:5
 ларги тсинаип йымидивен ,еритравк йомеатибоен ежу;нрюткон;уже необитаемой квартире, невидимый пианист играл ;ноктюрн; ;соль минор (соч. 15 № 3) ;Владимир Савич. Табуретка мира // «Ковчег», 2012;Владимир Савич;;Табуретка мира;2012;художественная;роман;;«Ковчег»;2012;журнал;омонимия не снята;3403;32986;н-возраст;н-уровень;большая;Только за стенкой, в давно уже необитаемой квартире, невидимый пианист играл ноктюрн соль минор (соч. 15 № 3) ;60364:1794:11
 етевс мещажорд ее ирп ьташулсоп и;нрюткон;и послушать при ее дрожащем свете ;ноктюрн; ;Шопена! ;Николай Дежнев. Принцип неопределенности (2009);Николай Дежнев;1946;Принцип неопределенности;2009;художественная;роман;;Дежнев Николай. Принцип неопределенности;2009;книга;омонимия не снята;7022;90455;н-возраст;н-уровень;большая;Он… он хотел зажечь свечу и послушать при ее дрожащем свете ноктюрн Шопена! ;22512:1156:11
 етеанз ыВ;ынрюткон;Вы знаете ;ноктюрны; ;Шопена... ;Ж. Василенко, Э. Кушнир. «Надеюсь на свет...» // «Наука и жизнь», 2008;Ж. Василенко, Э. Кушнир;;«Надеюсь на свет...»;2008;публицистика | нехудожественная;статья;наука и технологии | биология | история | сельское хозяйство;«Наука и жизнь»;2008;журнал;омонимия не снята;183;2642;н-возраст;н-уровень;большая;Вы знаете ноктюрны Шопена... ;37693:121:2
 хабурт хынчотсодов ан ьтарги гом но;нрюткон;он мог играть на водосточных трубах ;ноктюрн;, -- ;так же можно из сложившихся дурных;М. К. Кантор. Медленные челюсти демократии (2008);М. К. Кантор;1957;Медленные челюсти демократии;2008;публицистика | нехудожественная;эссе;искусство и культура | политика и общественная жизнь;М. К. Кантор, «Медленные челюсти демократии»;2008;книга;омонимия не снята;11782;182784;н-возраст;н-уровень;большая;Так же точно, как некогда он мог играть на водосточных трубах ноктюрн, -- так же можно из сложившихся дурных обстоятельств все-таки построить -- вопреки здравому смыслу -- идеальные. ;22980:7712:11
 ыВ А;нрюткон;А Вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;А Вы ноктюрн сыграть могли бы на флейте водосточных труб? (2004) // «Народное творчество», 16.08.2004;;;А Вы ноктюрн сыграть могли бы на флейте водосточных труб?;2004;публицистика | нехудожественная;статья;искусство и культура;«Народное творчество»;16.08.2004;журнал;омонимия не снята;50;781;н-возраст;н-уровень;средняя;А Вы ноктюрн сыграть могли бы на флейте водосточных труб? ;13198:0:2
 ьдубин-йокак етйаргыС;нрюткон;Сыграйте какой-нибудь ;ноктюрн; ;и во время игры расскажите тихонько;Музыкальные паузы режиссера Васильева (2003) // «Театральная жизнь», 26.05.2003;;;Музыкальные паузы режиссера Васильева;2003;публицистика | нехудожественная;рецензия;искусство и культура;«Театральная жизнь»;26.05.2003;газета;омонимия не снята;123;2190;н-возраст;н-уровень;средняя;Сыграйте какой-нибудь ноктюрн и во время игры расскажите тихонько, как вы сохранили молодость». ;5193:43:02
 ыв А«( икызум итсач оп мовтсротавон;нрюткон;новаторством по части музыки («А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Владислав Быков, Ольга Деркач. Книга века (2000);Владислав Быков | Ольга Деркач;;Книга века;2000;публицистика | нехудожественная;монография;политика и общественная жизнь;Быков В., Деркач В. В. Книга века;2001;книга;омонимия не снята;16756;197679;н-возраст;н-уровень;большая;В 1914 году неутомимый Маяковский вслед за новаторством по части музыки («А вы ноктюрн сыграть могли бы на флейте водосточных труб?») выступил как модельер. ;35984:2310:13
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Е. Т. Яковлев. Эстетика (1999);Е. Т. Яковлев;;Эстетика;1999;учебно-научная | нехудожественная;учебное пособие;наука и технологии | философия | искусство и культура;Е. Т. Яковлев. Эстетика;2003;;омонимия не снята;5849;115180;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб? ;42345:3535:2
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Е. Т. Яковлев. Эстетика (1999);Е. Т. Яковлев;;Эстетика;1999;учебно-научная | нехудожественная;учебное пособие;наука и технологии | философия | искусство и культура;Е. Т. Яковлев. Эстетика;2003;;омонимия не снята;5849;115180;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб? ;42345:3564:2
 яашулс – ,)екьлиР ,авеатевЦ ,матшьледнаМ ,колБ ,вечтюТ;ынрюткон;Тютчев, Блок, Мандельштам, Цветаева, Рильке), – слушая ;ноктюрны; ;Шопена и фуги Баха или стоя;Г. С. Померанц. Записки гадкого утёнка (1998);Г. С. Померанц;1918;Записки гадкого утёнка;1998;публицистика | нехудожественная;мемуары;политика и общественная жизнь;Померанц Г. С. Записки гадкого утёнка;1998;книга;омонимия не снята;11144;126746;н-возраст;н-уровень;большая;До того как я научился читать книгу гор и вод, моим молитвенником была поэзия, и подлинные отношения с людьми складывались при чтении стихов (Тютчев, Блок, Мандельштам, Цветаева, Рильке), – слушая ноктюрны Шопена и фуги Баха или стоя перед «Чайками над Темзой» Клода Моне. ;42342:10123:29
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть смогли бы, ;Никита Богословский. Заметки на полях шляпы (1997);Никита Богословский;1913;Заметки на полях шляпы;1997;художественная;миниатюра;;Никита Богословский. Заметки на полях шляпы;1997;книга;омонимия не снята;4281;37735;н-возраст;н-уровень;большая;А вы ноктюрн сыграть смогли бы, ;53929:2503:2
 ьташулсорп елето-салаП в ястсаду ил орокс;нрюткон;скоро ли удастся в Палас-отеле прослушать ;ноктюрн; ;Des-dur Фредерика Шопена в исполнении;Николай Климонтович. La vie de jour (1996) // «Коммерсантъ-Daily», 20.01.1996;Николай Климонтович;;La vie de jour;1996;публицистика | нехудожественная;статья;искусство и культура;«Коммерсантъ-Daily»;20.01.1996;газета;омонимия не снята;66;1161;н-возраст;н-уровень;большая;"Когда теперь Ирочка Мелешкевич пригласит на елку в галерею «Манеж», а галерея «Роза Азора» -- на новогодний карнавал; и скоро ли удастся в Палас-отеле прослушать ноктюрн Des-dur Фредерика Шопена в исполнении Владимира Крайнева; долго теперь не попасть на улицу Грановского, где Новый год Международный фонд реабилитации и развития предприятий Российской Федерации встречал в новом офисе, недавно оклеенном чистыми светлыми обоями; и супруги Карагановы долго еще не попросят знакомых и близких на улицу Гоголя в Переделкино на новогодний хаш, ибо Новый год бывает очень и очень редко, один раз на триста шестьдесят пять дней; и не будет больше пятидесятилетнего юбилея писателя Евгения Попова, родившегося под знаком Козерога в далеком 1946-м в не более близком городе К. на сибирской реке Е., -- ни на улице имени газеты большевиков «Правда», ни на какой другой -- по той причине, что юбилей уже состоялся в истекающем январе. ";31101:9:24
 ыв А…« !eillof elleuq -- oid O;нрюткон;O dio -- quelle follie! «…А вы ;ноктюрн; ;сыграть могли бы ;М. Н. Коган. Дневник (1993);М. Н. Коган;1977;Дневник;1993;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | путешествия | образование | искусство и культура;Кнорринг И. Н. Повесть из собственной жизни. Дневник. В 2 томах. М.: Аграф, 2009-2013.;2009-2013;книга;омонимия не снята;1175;8458;н-возраст;н-уровень;личная;Дни любви посвящены, Ночью царствуют стаканы, Мы же -- то смертельно пьяны, То мертвецки влюблены. O dio -- che smania -- O dio -- che piacere -- O dio -- che desinganno -- O dio -- quelle follie! «…А вы ноктюрн сыграть могли бы ;20647:456:32
 йыньлачеп ,йихит вашылсу ,ызелс ьтажредс алгомс;нрюткон;смогла сдержать слезы, услышав тихий, печальный ;ноктюрн; ;и увидев гроб в цветах под;Ольга Новикова. Женский роман (1993);Ольга Новикова;1950;Женский роман;1993;художественная;роман;;Новикова О. Мужской роман. Женский роман;2000;книга;омонимия не снята;5145;56498;н-возраст;н-уровень;большая;И все-таки не смогла сдержать слезы, услышав тихий, печальный ноктюрн и увидев гроб в цветах под большим лицом Кайсарова, уголок которого был перечеркнут траурной лентой. ;53672:4600:9
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Екатерина Маркова. Каприз фаворита (1990-2000);Екатерина Маркова;1946;Каприз фаворита;1990-2000;художественная;повесть;;Маркова Е. Каприз фаворита;2000;книга;омонимия не снята;3942;42594;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб?» Именно. ;53640:2332:2
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Екатерина Маркова. Каприз фаворита (1990-2000);Екатерина Маркова;1946;Каприз фаворита;1990-2000;художественная;повесть;;Маркова Е. Каприз фаворита;2000;книга;омонимия не снята;3942;42594;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб?» ;53640:2588:2
 ...ыв А;нрюткон;А вы... ;ноктюрн; ;сыграть могли бы на флейте водосточных;Екатерина Маркова. Каприз фаворита (1990-2000);Екатерина Маркова;1946;Каприз фаворита;1990-2000;художественная;повесть;;Маркова Е. Каприз фаворита;2000;книга;омонимия не снята;3942;42594;н-возраст;н-уровень;большая;А вы... ноктюрн сыграть могли бы на флейте водосточных труб?!» ;53640:2741:2
 ...ыв А;нрюткон;А вы... ;ноктюрн; ;сыграть могли бы на флейте водосточных;Екатерина Маркова. Каприз фаворита (1990-2000);Екатерина Маркова;1946;Каприз фаворита;1990-2000;художественная;повесть;;Маркова Е. Каприз фаворита;2000;книга;омонимия не снята;3942;42594;н-возраст;н-уровень;большая;А вы... ноктюрн сыграть могли бы на флейте водосточных труб?» Стас любил повторять эти строки, и они всегда объясняли многое... ;53640:3394:2
;нрюткоН;;Ноктюрн; (;это тот самый, с которого я;С. Т. Рихтер. Дневник (1988);С. Т. Рихтер;1915;Дневник;1988;бытовая | нехудожественная;дневник, записные книжки;искусство и культура | частная жизнь;Монсенжон Б. Рихтер. Диалоги. Дневники. М.: Классика-ХХI, 2002.;2002;книга;омонимия не снята;1042;4567;н-возраст;н-уровень;малая;Ноктюрн (это тот самый, с которого я начал свою фортепьянную профессию) слушать можно... ;21115:970:0
 ушипан я артваз ,тежом :ешуд ончувзос;нрюткон;созвучно душе: может, завтра я напишу ;ноктюрн;, ;а может, «блатную» песню. ;Александр Розенбаум. Бультерьер (1987-1998);Александр Розенбаум;1951;Бультерьер;1987-1998;публицистика | нехудожественная;интервью;;Александр Розенбаум. Бультерьер;2000;книга;омонимия не снята;4058;45972;н-возраст;н-уровень;большая;Пишу, как уже говорил, о том, что созвучно душе: может, завтра я напишу ноктюрн, а может, «блатную» песню. ;52916:741:13
 ьтарги лачан ,ыреВ с залг ядовс;нрюткон;сводя глаз с Веры, начал играть ;ноктюрн; ;Шопена, и над ресторанным залом поплыли;Эльдар Рязанов, Эмиль Брагинский. Вокзал для двоих (1983);Эльдар Рязанов | Эмиль Брагинский;1927|1921;Вокзал для двоих;1983;художественная;киноповесть;;Эльдар Рязанов, Эмиль Брагинский. Тихие омуты;1999;книга;омонимия не снята;2628;16986;н-возраст;н-уровень;большая;Не сводя глаз с Веры, начал играть ноктюрн Шопена, и над ресторанным залом поплыли нежные и щемящие звуки. ;52949:1774:7
 ьтаргыс ясларибос онволс ,онжен и овичмудаз;нрюткон;задумчиво и нежно, словно собирался сыграть ;ноктюрн; ;на извергающей воду флейте, у афиши;Ю. М. Нагибин. В те юные годы (1983);Ю. М. Нагибин;1920;В те юные годы;1983;художественная;повесть;;;;книга;омонимия не снята;1205;16175;н-возраст;н-уровень;очень большая;Он присутствовал на всех фотографиях -- большей частью в своей естественной печали, изредка улыбающийся, и тогда становилось еще печальней: топчущий лужи под косыми струями дождя, у гранитного подножия памятника, у витрины с крабами и коньяком, на трамвайной остановке, у водосточной трубы, глядя на нее так задумчиво и нежно, словно собирался сыграть ноктюрн на извергающей воду флейте, у афиши с просторным лицом актрисы, роняющей из огромных глаз дождевые слезы, на бульваре с черными, по-весеннему голыми деревьями, смотрящим вслед девушке. ;23426:854:50
 ливя отч ,умот онневтсечак теапутсу ен;ынрюткон;не уступает качественно тому, что явил ;ноктюрны; ;Шопена или симфонии Брамса. ;Ю. М. Нагибин. Дневник (1983);Ю. М. Нагибин;1920;Дневник;1983;публицистика | нехудожественная;дневник, записные книжки;;Юрий Нагибин. Дневник;1996;книга;омонимия не снята;1745;21575;н-возраст;н-уровень;очень большая;Они и представить себе не могут, что творческий акт, породивший «Сильву» (именно «Сильву», а не оперетты Оскара Штрауса или Оскара Фельцмана), не уступает качественно тому, что явил ноктюрны Шопена или симфонии Брамса. ;23415:895:27
 алачан ,ьтирев ьсяасапо ,ярев еН;нрюткон;Не веря, опасаясь верить, начала ;ноктюрн; ;нежнейший, на пианиссимо -- почтительная благородная тишина;Н. В. Кожевникова. Гарантия успеха (1980);Н. В. Кожевникова;1949;Гарантия успеха;1980;художественная;повесть;;Кожевникова Надежда. Гарантия успеха. М.: Аграф, 2004;2004;книга;омонимия не снята;1639;24153;н-возраст;н-уровень;большая;Не веря, опасаясь верить, начала ноктюрн нежнейший, на пианиссимо -- почтительная благородная тишина стояла вокруг. ;23176:798:5
 аларги анО;ынрюткон;Она играла ;ноктюрны; ;задумчиво, печально и наслаждаясь, как умела;Н. В. Кожевникова. Гарантия успеха (1980);Н. В. Кожевникова;1949;Гарантия успеха;1980;художественная;повесть;;Кожевникова Надежда. Гарантия успеха. М.: Аграф, 2004;2004;книга;омонимия не снята;1639;24153;н-возраст;н-уровень;большая;Она играла ноктюрны задумчиво, печально и наслаждаясь, как умела наслаждаться только играя для себя, чуть напевая, глуховато, сквозь стиснутые губы, что всегда как-то обостряло, усиливало в ней ощущение одиночества и той сладостной боли, от которой начинает теснить в груди. ;23176:800:2
 йиксмелраГ« ,акчод ,йаргыС;нрюткон;Сыграй, дочка, «Гарлемский ;ноктюрн;», -- ;сказала женщина. ;Б. Г. Стрельников. Тысяча миль в поисках души (1979);Б. Г. Стрельников;1923;Тысяча миль в поисках души;1979;публицистика | нехудожественная;очерк;политика и общественная жизнь | частная жизнь;Б. Г. Стрельников. Тысяча миль в поисках души;1979;книга;омонимия не снята;10566;108590;н-возраст;н-уровень;большая;Сыграй, дочка, «Гарлемский ноктюрн», -- сказала женщина. ;24380:862:3
« ласипереп ыцинечу иинадижо В;нрюткоН;В ожидании ученицы переписал «;Ноктюрн;». ;;В. А. Швец. Дневник (1978);В. А. Швец;1916;Дневник;1978;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | образование;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;3576;24427;н-возраст;н-уровень;личная;В ожидании ученицы переписал «Ноктюрн». ;21413:533:4
« аларги мотоП;нрюткоН;Потом играла «;Ноктюрн;» ;Шопена H-dur, Баркароллу и, наконец, Скрябина;В. А. Швец. Дневник (1978);В. А. Швец;1916;Дневник;1978;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | образование;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;3576;24427;н-возраст;н-уровень;личная;Потом играла «Ноктюрн» Шопена H-dur, Баркароллу и, наконец, Скрябина -- 9-ю сонату, поэму «Томления» и 5-ю сонату. ;21413:1160:2
« лавысипереп моречеВ;нрюткоН;Вечером переписывал «;Ноктюрн;». ;;В. А. Швец. Дневник (1978);В. А. Швец;1916;Дневник;1978;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | образование;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;3576;24427;н-возраст;н-уровень;личная;Вечером переписывал «Ноктюрн». ;21413:1862:2
 ьтаргыс -- огесв виторп атсеторп канз в;нрюткон;в знак протеста против всего -- сыграть ;ноктюрн; ;на их флейте. ;Саша Соколов. Школа для дураков (1976);Саша Соколов;1943;Школа для дураков;1976;художественная;роман;;Саша Соколов. Школа для дураков;2001;книга;омонимия не снята;2688;55268;н-возраст;н-уровень;большая;Затем доносились глухие удары, вызываемые быстрым соприкосновением массы дерева с оцинкованной массой деловой жести: вероятно один из спецшкольников, не желающий возвращаться в дом отца своего, методически бил палкой по водосточным трубам, пытаясь в знак протеста против всего -- сыграть ноктюрн на их флейте. ;24267:1813:38
 ушипан я яндогеС;нрюткон;Сегодня я напишу ;ноктюрн;... ;;А. И. Цветаева. Сказ о звонаре Московском (1976);А. И. Цветаева;1894;Сказ о звонаре Московском;1976;художественная;повесть;;Цветаева А. Сказ о звонаре московском;1983;книга;омонимия не снята;1773;20902;н-возраст;н-уровень;большая;Сегодня я напишу ноктюрн... ;22388:1002:3
 иласипаН;нрюткон;Написали ;ноктюрн;? ;;А. И. Цветаева. Сказ о звонаре Московском (1976);А. И. Цветаева;1894;Сказ о звонаре Московском;1976;художественная;повесть;;Цветаева А. Сказ о звонаре московском;1983;книга;омонимия не снята;1773;20902;н-возраст;н-уровень;большая;Написали ноктюрн? ;22388:1018:1
 тоттэ умме ьтасип нежлодд я мечазз;нрюткон;ззачем я ддолжен писать емму эттот ;ноктюрн;? -- ;произносит он непередаваемым тоном (в нем;А. И. Цветаева. Сказ о звонаре Московском (1976);А. И. Цветаева;1894;Сказ о звонаре Московском;1976;художественная;повесть;;Цветаева А. Сказ о звонаре московском;1983;книга;омонимия не снята;1773;20902;н-возраст;н-уровень;большая;А ззачем я ддолжен писать емму эттот ноктюрн? -- произносит он непередаваемым тоном (в нем свобода, за которую бьются века и нации!), -- ессли ему эттот ноктюрн нужен (пауза, за которой -- сады своеволья), -- ппусть он его пишет сам!.. ;22388:1022:7
 теарги онвад ежу но ,тежом ,ятох;ынрюткон;хотя, может, он уже давно играет ;ноктюрны; ;на флейте водосточных труб) Генрих Сапгир;Нина Воронель. Без прикрас. Воспоминания (1975-2003);Нина Воронель;1932;Без прикрас. Воспоминания;1975-2003;публицистика | нехудожественная;мемуары;;Н. Воронель. Без прикрас. Воспоминания;2003;книга;омонимия не снята;7182;126003;н-возраст;н-уровень;большая;В предисловии к книге поэт (во всяком случае, раньше я числила его в поэтах, хотя, может, он уже давно играет ноктюрны на флейте водосточных труб) Генрих Сапгир назвал «Видеомы» вершиной творчества А. Вознесенского: «В своих видеомах Андрей Вознесенский авангарднее самого себя. ;59979:5166:20
 оняьпетроф ан теарги вонохиТ кичвасарК;нрюткон;Красавчик Тихонов играет на фортепьяно ;ноктюрн; ;Шопена! ;А. Б. Гребнев. Дневник (1975);А. Б. Гребнев;1923;Дневник;1975;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | политика и общественная жизнь | искусство и культура | путешествия;Гребнев А. Б. Дневник последнего сценариста 1945-2002. М: Русский импульс, 2021;2006;книга;омонимия не снята;321;2287;н-возраст;н-уровень;личная;Красавчик Тихонов играет на фортепьяно ноктюрн Шопена! ;20441:263:5
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Р. Б. Гуль. Котовский. Анархист ― маршал (1975);Р. Б. Гуль;1896;Котовский. Анархист ― маршал;1975;публицистика | нехудожественная;очерк | биография;;Роман Борисович Гуль. Котовский. Анархист ― маршал;1975;книга;омонимия не снята;1315;14771;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб?» ;22880:26:2
 йитерТ ларги я дог зереч ежу;нрюткон;уже через год я играл Третий ;ноктюрн; ;Шопена. ;В. А. Каверин. Освещенные окна (1974-1976);В. А. Каверин;1902;Освещенные окна;1974-1976;художественная;роман;;Каверин В. А. Освещенные окна;1976;книга;омонимия не снята;4761;64700;н-возраст;н-уровень;очень большая;Новый преподаватель Штегман появился в Пскове, сдержанный, вежливый, требовательный немец, -- и занятия пошли так успешно, что уже через год я играл Третий ноктюрн Шопена. ;23037:552:22
« ;нрюткоН; «;Ноктюрн;» ;слышу впервые. ;С. Т. Рихтер. Дневник (1973);С. Т. Рихтер;1915;Дневник;1973;бытовая | нехудожественная;дневник, записные книжки;искусство и культура | частная жизнь | путешествия;Монсенжон Б. Рихтер. Диалоги. Дневники. М.: Классика-ХХI, 2002.;2002;книга;омонимия не снята;635;3285;н-возраст;н-уровень;малая;Ноктюрн» слышу впервые. ;21100:587:0
 яянлопси ,чапиркс йынневтсдерсоп енаротсер моньлебенешеф мондо;нрюткон;одном фешенебельном ресторане посредственный скрипач, исполняя ;ноктюрн; ;Шопена, заметил, что один из клиентов;Коллекция анекдотов: музыка (1970-2000);;;Коллекция анекдотов: музыка;1970-2000;художественная;анекдот;;;;электронный текст;омонимия не снята;393;2458;взрослый;н-уровень;очень большая;В одном фешенебельном ресторане посредственный скрипач, исполняя ноктюрн Шопена, заметил, что один из клиентов при первых звуках скрипки перестал есть, а потом горько заплакал. ;55:274:7
 иларгИ;нрюткоН;Играли ;Ноктюрн; ;Свирского для трубы. ;В. А. Швец. Дневник (1969);В. А. Швец;1916;Дневник;1969;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | образование;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;3223;20412;н-возраст;н-уровень;личная;Играли Ноктюрн Свирского для трубы. ;21404:1670:1
« ларги сиб аН;нрюткоН;На бис играл «;Ноктюрн;» ;и «Вальс» Шопена. ;В. А. Швец. Дневник (1968);В. А. Швец;1916;Дневник;1968;бытовая | нехудожественная;дневник, записные книжки;частная жизнь | искусство и культура | образование;Смирнов В. А. Реквием ХХ века: в 5-ти ч. Астропринт 2004--2013гг.;2004-2013;книга;омонимия не снята;3082;19894;н-возраст;н-уровень;личная;На бис играл «Ноктюрн» и «Вальс» Шопена. ;21403:500:3
 ман ьтаргыс ьшечох ыТ;нрюткон;Ты хочешь сыграть нам ;ноктюрн;? ;;Евгений Велтистов. Глоток солнца (1967);Евгений Велтистов;1934;Глоток солнца;1967;художественная;повесть;;Велтистиов Е. С. Глоток солнца. Записки программиста Марта Снегова;1967;книга;омонимия не снята;5104;48886;подростковый;н-уровень;большая;Ты хочешь сыграть нам ноктюрн? ;24583:1388:4
 юарги я ,теН;нрюткон;Нет, я играю ;ноктюрн; ;на синхрофазотроне, -- говорит Ежик из-под кровати. ;Евгений Велтистов. Глоток солнца (1967);Евгений Велтистов;1934;Глоток солнца;1967;художественная;повесть;;Велтистиов Е. С. Глоток солнца. Записки программиста Марта Снегова;1967;книга;омонимия не снята;5104;48886;подростковый;н-уровень;большая;Нет, я играю ноктюрн на синхрофазотроне, -- говорит Ежик из-под кровати. ;24583:1390:3
 ыв А;нрюткон;А вы ;ноктюрн; ;сыграть могли бы на флейте водосточных;Ю. П. Анненков. Дневник моих встреч (1966);Ю. П. Анненков;1889;Дневник моих встреч;1966;публицистика | нехудожественная;мемуары;;Юрий Анненков. Дневник моих встреч;2001;книга;омонимия не снята;10555;149039;н-возраст;н-уровень;большая;А вы ноктюрн сыграть могли бы на флейте водосточных труб? ;59936:2716:2
